Word,Definition
Supply,Amount of a product available
Demand,Desire for a product
Inflation,Increase in prices over time
Opportunity Cost,Value of the next best alternative
Scarcity,Limited availability of resources
Equilibrium,Point where supply equals demand
GDP,Total value of goods and services produced
