Word,Definition
Algorithm,Step by step procedure to solve a problem
Variable,Container for storing data values
Function,Reusable block of code that performs a task
Loop,Structure that repeats code multiple times
Boolean,Data type with true or false values
Array,Collection of elements stored in order
Object,Instance of a class containing data and methods
